rowid;name;part_sp;rate_abs;page_resp
1;і;сполучн.;90902;1
2;на;прийм.;82650;1
3;в;прийм.;79420;1
4;у;прийм.;70380;1
5;не;част.;66660;1
6;з;прийм.;55277;1
7;бути;дієсл.;50666;1
8;та;сполучн.;37436;1
9;що;сполучн.;36898;1
10;до;прийм.;34716;1
11;за;прийм.;32356;1
12;Україна;ім. ж. р.;27316;1
13;й;сполучн.;27127;1
14;про;прийм.;25097;1
15;цей;займ.-прикм.;24786;1
16;рік;ім. ч. р.;24050;1
17;для;прийм.;23380;1
18;це;займ.-ім.;21952;1
19;вони;займ.-ім.;21586;1
20;що;займ.-ім.;21204;1
21;ми;займ.-ім.;19541;1
22;яке;займ.-ім.;19498;1
23;свій;займ.-прикм.;18040;1
24;такий;займ.-прикм.;17959;1
25;я;займ.-ім.;17615;1
26;від;прийм.;16268;1
27;він;займ.-ім.;15972;1
28;із;прийм.;15078;1
29;але;сполучн.;15030;1
30;мати;дієсл.;14310;1
31;вона;займ.-ім.;13894;1
32;як;прислівн.;13532;1
33;те;займ.-ім.;13021;1
34;як;сполучн.;12479;1
35;чи;сполучн.;12032;1
36;час;ім. ч. р.;11509;1
37;це;част.;11507;1
38;український;прикметник;11152;1
39;країна;ім. ж. р.;10677;1
40;наш;займ.-прикм.;9930;1
41;влада;ім. ж. р.;9672;1
42;яка;займ.-ім.;9579;1
43;держава;ім. ж. р.;9485;1
44;один;числ.;9235;1
45;його;займ.;9055;1
46;новий;прикметник;8699;1
47;ще;прислівн.;8688;1
48;державний;прикметник;8292;1
49;могти;дієсл.;8171;1
50;якщо;сполучн.;8145;1
51;який;займ.-ім.;7854;2
52;стати;дієсл.;7686;2
53;вже;прислівн.;7668;2
54;ж;част.;7622;2
55;право;ім. с. р.;7406;2
56;лише;част.;7394;2
57;політичний;прикметник;7358;2
58;до;ім. с. р.;7310;2
59;закон;ім. ч. р.;7224;2
60;люди;ім. множ.;7167;2
61;можна;присудкова форма;7012;2
62;або;сполучн.;6893;2
63;ви;займ.-ім.;6862;2
64;під;прийм.;6772;2
65;питання;ім. с. р.;6749;2
66;також;прислівн.;6710;2
67;себе;займ.-ім.;6633;2
68;перший;прикметник;6592;2
69;система;ім. ж. р.;6584;2
70;коли;сполучн.;6254;2
71;самий;займ.-прикм.;6222;2
72;інший;займ.-прикм.;6210;2
73;президент;ім. ч. р.;6181;2
74;хто;займ.-ім.;6133;2
75;б;част.;5959;2
76;так;прислівн.;5863;2
77;навіть;част.;5630;2
78;проблема;ім. ж. р.;5522;2
79;по;прийм.;5504;2
80;ввесь;займ.-прикм.;5432;2
81;щоб;сполучн.;5249;2
82;розвиток;ім. ч. р.;5246;2
83;то;сполучн.;5236;2
84;після;прийм.;5195;2
85;справа;ім. ж. р.;5193;2
86;той;займ.-ім.;5182;2
87;дуже;прислівн.;5157;2
88;великий;прикметник;5145;2
89;робота;ім. ж. р.;5145;2
90;життя;ім. с. р.;5023;2
91;суд;ім. ч. р.;4958;2
92;людина;ім. ж. р.;4919;2
93;національний;прикметник;4839;2
94;через;прийм.;4752;2
95;їхній;займ.-прикм.;4746;2
96;діяльність;ім. ж. р.;4741;2
97;та;займ.-ім.;4722;2
98;рішення;ім. с. р.;4621;2
99;все;займ.-ім.;4611;2
100;тому;прислівн.;4559;2
101;процес;ім. ч. р.;4553;3
102;орган;ім. ч. р.;4511;3
103;суспільство;ім. с. р.;4490;3
104;той;займ.-прикм.;4476;3
105;сьогодні;прислівн.;4452;3
106;може;дієсл.;4440;3
107;проект;ім. ч. р.;4429;3
108;Саме;част.;4425;3
109;щодо;прийм.;4409;3
110;де;прислівн.;4387;3
111;партія;ім. ж. р.;4339;3
112;працювати;дієсл.;4308;3
113;інше;займ.-ім.;4286;3
114;світ;ім. ч. р.;4232;3
115;без;прийм.;4167;3
116;останній;прикметник;4149;3
117;рівень;ім. ч. р.;4140;3
118;раз;ім. ч. р.;4127;3
119;європейський;прикметник;4046;3
120;умова;ім. ж. р.;4022;3
121;більше;прислівн.;3991;3
122;тільки;прислівн.;3985;3
123;організація;ім. ж. р.;3907;3
124;місце;ім. с. р.;3880;3
125;особа;ім. ж. р.;3880;3
126;її;займ.;3868;3
127;російський;прикметник;3860;3
128;зі;прийм.;3853;3
129;можливість;ім. ж. р.;3780;3
130;сказати;дієсл.;3762;3
131;політика;ім. ж. р.;3730;3
132;місцевий;прикметник;3727;3
133;Росія;ім. ж. р.;3702;3
134;міжнародний;прикметник;3700;3
135;громадянин;ім. ч. р.;3693;3
136;слово;ім. с. р.;3682;3
137;соціальний;прикметник;3678;3
138;головний;прикметник;3673;3
139;два;числ.;3670;3
140;ситуація;ім. ж. р.;3655;3
141;між;прийм.;3621;3
142;день;ім. ч. р.;3555;3
143;тоді;прислівн.;3547;3
144;казати;дієсл.;3534;3
145;вважати;дієсл.;3533;3
146;при;прийм.;3518;3
147;місто;ім. с. р.;3506;3
148;бо;сполучн.;3504;3
149;результат;ім. ч. р.;3496;3
150;Янукович;ім. ч. р.;3491;3
151;тут;прислівн.;3490;4
152;зміна;ім. ж. р.;3486;4
153;економічний;прикметник;3433;4
154;власний;прикметник;3328;4
155;програма;ім. ж. р.;3320;4
156;ні;сполучн.;3319;4
157;зокрема;прислівн.;3316;4
158;сила;ім. ж. р.;3300;4
159;частина;ім. ж. р.;3268;4
160;багато;числ.;3242;4
161;увесь;займ.-прикм.;3240;4
162;різний;прикметник;3232;4
163;думка;ім. ж. р.;3221;4
164;зробити;дієсл.;3219;4
165;який;займ.-прикм.;3197;4
166;мова;ім. ж. р.;3194;4
167;вибори;ім. множ.;3177;4
168;голова;ім. ч. р.;3163;4
169;мій;займ.-прикм.;3147;4
170;основний;прикметник;3128;4
171;історія;ім. ж. р.;3059;4
172;сфера;ім. ж. р.;3049;4
173;дія;ім. ж. р.;3047;4
174;рада;ім. ж. р.;3030;4
175;річ;ім. ж. р.;3022;4
176;немає;присудкова форма;2993;4
177;робити;дієсл.;2979;4
178;так;част.;2957;4
179;певний;прикметник;2954;4
180;всі;займ.-ім.;2952;4
181;уряд;ім. ч. р.;2952;4
182;однак;сполучн.;2943;4
183;інтерес;ім. ч. р.;2924;4
184;Київ;ім. ч. р.;2903;4
185;Європа;ім. ж. р.;2885;4
186;регіон;ім. ч. р.;2870;4
187;міністр;ім. ч. р.;2853;4
188;другий;прикметник;2848;4
189;оден;числ.;2847;4
190;депутат;ім. ч. р.;2831;4
191;правовий;прикметник;2831;4
192;ринок;ім. ч. р.;2831;4
193;реформа;ім. ж. р.;2817;4
194;там;прислівн.;2790;4
195;Тому;сполучн.;2784;4
196;проте;сполучн.;2783;4
197;інформація;ім. ж. р.;2776;4
198;участь;ім. ж. р.;2773;4
199;сучасний;прикметник;2763;4
200;конституція;ім. ж. р.;2710;4
201;верховний;прикметник;2709;5
202;кожний;займ.-прикм.;2658;5
203;уже;прислівн.;2646;5
204;земля;ім. ж. р.;2631;5
205;просто;прислівн.;2624;5
206;будь-який;займ.-прикм.;2622;5
207;документ;ім. ч. р.;2613;5
208;тобто;сполучн.;2611;5
209;науковий;прикметник;2610;5
210;захід;ім. ч. р.;2608;5
211;створення;ім. с. р.;2596;5
212;жодний;займ.-прикм.;2594;5
213;підприємство;ім. с. р.;2583;5
214;кількість;ім. ж. р.;2579;5
215;почати;дієсл.;2553;5
216;отримати;дієсл.;2533;5
217;нині;прислівн.;2532;5
219;конституційний;прикметник;2524;5
218;інститут;ім. ч. р.;2524;5
220;свобода;ім. ж. р.;2523;5
221;треба;присудкова форма;2505;5
222;наприклад;прислівн.;2500;5
223;центр;ім. ч. р.;2497;5
224;дати;дієсл.;2489;5
225;не;прислівн.;2483;5
226;увага;ім. ж. р.;2482;5
227;тисяча;ім. ж. р.;2480;5
228;представник;ім. ч. р.;2476;5
229;давати;дієсл.;2471;5
230;говорити;дієсл.;2469;5
231;потрібно;присудкова форма;2456;5
232;більшість;ім. ж. р.;2453;5
233;хотіти;дієсл.;2442;5
234;економіка;ім. ж. р.;2441;5
235;бік;ім. ч. р.;2436;5
236;повинний;прикметник;2431;5
237;наука;ім. ж. р.;2420;5
238;світовий;прикметник;2420;5
239;управління;ім. с. р.;2408;5
240;кошт;ім. ч. р.;2407;5
241;маяти;дієсл.;2391;5
242;група;ім. ж. р.;2382;5
243;принцип;ім. ч. р.;2380;5
244;серед;прийм.;2378;5
245;українець;ім. ч. р.;2345;5
246;культура;ім. ж. р.;2340;5
247;діти;ім. множ.;2338;5
248;допомога;ім. ж. р.;2319;5
249;майже;прислівн.;2309;5
250;захист;ім. ч. р.;2306;5
251;тепер;прислівн.;2306;6
252;ніж;сполучн.;2288;6
253;гроші;ім. множ.;2285;6
254;населення;ім. с. р.;2277;6
255;так;сполучн.;2277;6
256;єдиний;прикметник;2264;6
257;би;част.;2256;6
258;йога;ім. ж. р.;2251;6
259;відповідний;прикметник;2245;6
260;забезпечення;ім. с. р.;2241;6
261;кілька;числ.;2237;6
262;Зараз;прислівн.;2233;6
263;багато;прислівн.;2224;6
264;ціна;ім. ж. р.;2205;6
265;три;числ.;2189;6
266;Віктор;ім. ч. р.;2183;6
267;мета;ім. ж. р.;2176;6
268;законодавство;ім. с. р.;2169;6
269;завжди;прислівн.;2153;6
270;компанія;ім. ж. р.;2148;6
271;територія;ім. ж. р.;2140;6
272;шлях;ім. ч. р.;2134;6
273;область;ім. ж. р.;2130;6
274;член;ім. ч. р.;2128;6
275;Перед;прийм.;2125;6
276;газ;ім. ч. р.;2122;6
277;знати;дієсл.;2122;6
278;форма;ім. ж. р.;2112;6
279;початок;ім. ч. р.;2110;6
280;безпека;ім. ж. р.;2096;6
281;вищий;прикметник;2096;6
282;політик;ім. ч. р.;2080;6
283;завдання;ім. с. р.;2078;6
284;нинішній;прикметник;2075;6
285;Тимошенко;ім. ж. р.;2069;6
286;відносини;ім. множ.;2063;6
287;університет;ім. ч. р.;2060;6
288;брати;дієсл.;2059;6
289;народний;прикметник;2059;6
290;загальний;прикметник;2052;6
291;основа;ім. ж. р.;2045;6
292;народ;ім. ч. р.;2033;6
293;потім;прислівн.;2018;6
294;ідея;ім. ж. р.;2016;6
295;над;прийм.;2012;6
296;бюджет;ім. ч. р.;1997;6
297;парламент;ім. ч. р.;1987;6
298;позиція;ім. ж. р.;1984;6
299;ніхто;займ.-ім.;1973;6
300;тільки;сполучн.;1972;6
301;дослідження;ім. с. р.;1959;7
302;потрібний;прикметник;1958;7
303;щось;займ.-ім.;1954;7
304;відповідно;прислівн.;1953;7
305;радянський;прикметник;1948;7
306;Адже;част.;1946;7
307;випадок;ім. ч. р.;1939;7
308;стаття;ім. ж. р.;1939;7
309;норма;ім. ж. р.;1938;7
310;комісія;ім. ж. р.;1930;7
311;жити;дієсл.;1926;7
312;оскільки;сполучн.;1918;7
313;важливий;прикметник;1913;7
314;бачити;дієсл.;1907;7
315;судовий;прикметник;1907;7
316;посада;ім. ж. р.;1905;7
317;галузь;ім. ж. р.;1902;7
318;віно;ім. с. р.;1898;7
319;хоча;част.;1890;7
320;ніщо;займ.-ім.;1877;7
321;р;абревіатура;1870;7
322;якийсь;займ.-прикм.;1864;7
323;більш;прислівн.;1862;7
324;існувати;дієсл.;1861;7
325;реалізація;ім. ж. р.;1858;7
326;відбуватися;дієсл.;1855;7
327;стан;ім. ч. р.;1853;7
328;проти;прийм.;1850;7
329;банк;ім. ч. р.;1844;7
330;тощо;прислівн.;1840;7
331;відомий;прикметник;1833;7
332;бізнес;ім. ч. р.;1831;7
333;окремий;прикметник;1830;7
334;структура;ім. ж. р.;1812;7
335;боротьба;ім. ж. р.;1805;7
336;досвід;ім. ч. р.;1803;7
337;ти;займ.-ім.;1799;7
338;то;займ.-ім.;1798;7
339;котре;займ.-ім.;1795;7
340;фінансовий;прикметник;1787;7
341;ваш;займ.-прикм.;1784;7
342;кандидат;ім. ч. р.;1782;7
343;внутрішній;прикметник;1781;7
344;досить;прислівн.;1777;7
345;виробництво;ім. с. р.;1775;7
346;лідер;ім. ч. р.;1760;7
347;розуміти;дієсл.;1756;7
348;високий;прикметник;1752;7
349;підтримка;ім. ж. р.;1750;7
350;відповідальність;ім. ж. р.;1748;7
351;громадський;прикметник;1745;8
352;крім;прийм.;1726;8
353;учасник;ім. ч. р.;1722;8
354;гривня;ім. ж. р.;1718;8
355;залишатися;дієсл.;1705;8
356;керівник;ім. ч. р.;1704;8
357;порядок;ім. ч. р.;1703;8
358;намагатися;дієсл.;1695;8
359;період;ім. ч. р.;1690;8
360;том;ім. ч. р.;1686;8
361;змогти;дієсл.;1685;8
362;колоти;дієсл.;1683;8
363;спільний;прикметник;1683;8
364;місяць;ім. ч. р.;1678;8
365;акт;ім. ч. р.;1674;8
366;усе;займ.-ім.;1673;8
367;наступний;прикметник;1672;8
368;відбутися;дієсл.;1669;8
369;план;ім. ч. р.;1669;8
370;рука;ім. ж. р.;1665;8
371;становити;дієсл.;1665;8
372;особливо;прислівн.;1662;8
373;реальний;прикметник;1662;8
374;проведення;ім. с. р.;1651;8
375;союз;ім. ч. р.;1650;8
376;бутити;дієсл.;1646;8
377;відповідати;дієсл.;1636;8
378;використання;ім. с. р.;1635;8
379;кодекс;ім. ч. р.;1635;8
380;повноваження;ім. с. р.;1634;8
381;слід;присудкова форма;1631;8
382;Отже;част.;1624;8
383;ректи;ім. ч. р.;1622;8
384;виконання;ім. с. р.;1614;8
385;йти;дієсл.;1600;8
386;межа;ім. ж. р.;1598;8
387;фонд;ім. ч. р.;1593;8
388;суспільний;прикметник;1591;8
389;праця;ім. ж. р.;1587;8
390;договір;ім. ч. р.;1579;8
391;зв'язок;ім. ч. р.;1575;8
392;угода;ім. ж. р.;1575;8
393;понад;прийм.;1571;8
394;виборчий;прикметник;1564;8
395;змінити;дієсл.;1564;8
396;Ющенко;ім. ч. р.;1563;8
397;вимога;ім. ж. р.;1562;8
398;створити;дієсл.;1561;8
399;писати;дієсл.;1559;8
400;причина;ім. ж. р.;1559;8
401;ресурс;ім. ч. р.;1557;9
402;київський;прикметник;1553;9
403;хтось;займ.-ім.;1541;9
404;факт;ім. ч. р.;1537;9
405;разом;прислівн.;1534;9
406;працівник;ім. ч. р.;1530;9
407;рух;ім. ч. р.;1528;9
408;технологія;ім. ж. р.;1526;9
409;засіб;ім. ч. р.;1525;9
410;теж;прислівн.;1525;9
411;мільйон;ім. ч. р.;1522;9
412;міський;прикметник;1518;9
413;весь;займ.-прикм.;1516;9
414;будівництво;ім. с. р.;1513;9
415;статус;ім. ч. р.;1512;9
416;автор;ім. ч. р.;1511;9
417;піти;дієсл.;1510;9
418;думати;дієсл.;1506;9
419;підготовка;ім. ж. р.;1505;9
420;міністерство;ім. с. р.;1503;9
421;сша;;1503;9
422;залишити;дієсл.;1498;9
423;вітчизняний;прикметник;1495;9
424;спосіб;ім. ч. р.;1493;9
425;можливо;прислівн.;1485;9
426;склад;ім. ч. р.;1483;9
427;ставати;дієсл.;1481;9
428;аби;сполучн.;1479;9
429;відсоток;ім. ч. р.;1476;9
430;юридичний;прикметник;1474;9
431;демократія;ім. ж. р.;1472;9
432;о;прийм.;1471;9
433;формування;ім. с. р.;1471;9
434;значний;прикметник;1470;9
435;комітет;ім. ч. р.;1470;9
436;близько;прийм.;1467;9
437;перебувати;дієсл.;1463;9
438;суддя;ім. ч. р.;1462;9
439;тож;сполучн.;1459;9
440;якість;ім. ж. р.;1457;9
441;механізм;ім. ч. р.;1456;9
442;середній;прикметник;1453;9
443;часто;прислівн.;1452;9
444;церква;ім. ж. р.;1449;9
445;вийти;дієсл.;1448;9
446;послуга;ім. ж. р.;1447;9
447;проводити;дієсл.;1442;9
448;що;прислівн.;1442;9
449;даний;прикметник;1439;9
450;служба;ім. ж. р.;1439;9
451;водночас;прислівн.;1438;10
452;Володимир;ім. ч. р.;1436;10
453;століття;ім. с. р.;1435;10
454;податковий;прикметник;1428;10
455;необхідний;прикметник;1427;10
456;керівництво;ім. с. р.;1426;10
457;знайти;дієсл.;1425;10
458;пов'язаний;прикметник;1423;10
459;наслідок;ім. ч. р.;1419;10
460;контроль;ім. ч. р.;1409;10
461;демократичний;прикметник;1407;10
462;виходити;дієсл.;1405;10
463;зовнішній;прикметник;1405;10
464;стосуватися;дієсл.;1404;10
465;рахунок;ім. ч. р.;1400;10
466;справді;прислівн.;1395;10
467;взагалі;прислівн.;1392;10
468;заклад;ім. ч. р.;1383;10
469;що;част.;1381;10
470;знову;прислівн.;1377;10
471;криза;ім. ж. р.;1371;10
472;зовсім;прислівн.;1368;10
473;будинок;ім. ч. р.;1367;10
474;ось;част.;1363;10
475;адже;сполучн.;1362;10
476;діяти;дієсл.;1361;10
478;опозиція;ім. ж. р.;1360;10
477;ім'я;ім. с. р.;1360;10
479;правий;прикметник;1359;10
480;колишній;прикметник;1358;10
481;погляд;ім. ч. р.;1354;10
482;сам;займ.-прикм.;1353;10
483;відповідь;ім. ж. р.;1350;10
484;навчальний;прикметник;1350;10
485;школа;ім. ж. р.;1347;10
486;заявити;дієсл.;1345;10
487;повний;прикметник;1345;10
488;термін;ім. ч. р.;1345;10
489;сторона;ім. ж. р.;1342;10
490;запитання;ім. с. р.;1340;10
491;число;ім. с. р.;1340;10
492;положення;ім. с. р.;1337;10
494;Олександр;ім. ч. р.;1332;10
493;законодавчий;прикметник;1332;10
495;історичний;прикметник;1331;10
496;війна;ім. ж. р.;1323;10
497;протягом;прийм.;1315;10
498;порушення;ім. с. р.;1314;10
499;студент;ім. ч. р.;1312;10
500;законопроект;ім. ч. р.;1308;10
501;можливий;прикметник;1308;11
502;обсяг;ім. ч. р.;1307;11
503;третій;прикметник;1306;11
504;кордон;ім. ч. р.;1305;11
505;джерело;ім. с. р.;1304;11
506;висновок;ім. ч. р.;1303;11
507;кримінальний;прикметник;1303;11
508;чин;ім. ч. р.;1300;11
509;приклад;ім. ч. р.;1299;11
510;все;част.;1295;11
511;минулий;прикметник;1293;11
512;режим;ім. ч. р.;1293;11
513;варто;присудкова форма;1289;11
514;згідно;прислівн.;1289;11
515;інформаційний;прикметник;1288;11
516;цілком;прислівн.;1286;11
517;йтися;дієсл.;1283;11
518;вирішити;дієсл.;1279;11
519;готовий;прикметник;1274;11
520;тема;ім. ж. р.;1270;11
521;передбачати;дієсл.;1269;11
522;роль;ім. ж. р.;1269;11
523;підстава;ім. ж. р.;1268;11
524;напрям;ім. ч. р.;1265;11
525;потребувати;дієсл.;1265;11
526;стояти;дієсл.;1261;11
527;же;част.;1259;11
528;зростання;ім. с. р.;1258;11
529;військовий;прикметник;1257;11
530;незалежність;ім. ж. р.;1253;11
531;пенсія;ім. ж. р.;1251;11
532;власність;ім. ж. р.;1248;11
533;виборець;ім. ч. р.;1246;11
534;корупція;ім. ж. р.;1245;11
535;заява;ім. ж. р.;1243;11
536;майбутній;прикметник;1242;11
537;момент;ім. ч. р.;1240;11
538;належати;дієсл.;1240;11
539;вплив;ім. ч. р.;1237;11
540;функція;ім. ж. р.;1237;11
541;особливий;прикметник;1235;11
542;база;ім. ж. р.;1233;11
543;том;займ.-ім.;1227;11
544;театр;ім. ч. р.;1224;11
545;жінка;ім. ж. р.;1223;11
546;знавати;дієсл.;1220;11
547;самоврядування;ім. с. р.;1220;11
548;цінність;ім. ж. р.;1220;11
549;взяти;дієсл.;1215;11
550;заступник;ім. ч. р.;1210;11
551;район;ім. ч. р.;1206;12
552;податок;ім. ч. р.;1204;12
553;зазначити;дієсл.;1202;12
554;деякий;займ.-прикм.;1199;12
555;акція;ім. ж. р.;1198;12
556;адміністративний;прикметник;1197;12
557;характер;ім. ч. р.;1191;12
558;зрозуміти;дієсл.;1190;12
559;молодий;прикметник;1190;12
560;практика;ім. ж. р.;1190;12
561;Ради;ім. ж. р.;1189;12
562;тис;ім. ч. р.;1188;12
563;м;;1187;12
564;приватний;прикметник;1187;12
565;потреба;ім. ж. р.;1184;12
566;Загалом;прислівн.;1183;12
567;конкретний;прикметник;1183;12
568;команда;ім. ж. р.;1182;12
569;от;част.;1181;12
570;більший;прикметник;1179;12
571;звісно;прислівн.;1177;12
572;село;ім. с. р.;1175;12
573;виявитися;дієсл.;1174;12
574;офіційний;прикметник;1172;12
575;найбільший;прикметник;1168;12
576;справжній;прикметник;1166;12
577;прийти;дієсл.;1165;12
578;вода;ім. ж. р.;1164;12
579;культурний;прикметник;1164;12
580;перспектива;ім. ж. р.;1163;12
581;чиновник;ім. ч. р.;1161;12
582;щоб;част.;1161;12
583;підвищення;ім. с. р.;1160;12
586;практично;прислівн.;1150;12
585;підхід;ім. ч. р.;1150;12
584;єс;;1150;12
587;вдатися;дієсл.;1147;12
588;завдяки;прийм.;1147;12
589;сільський;прикметник;1147;12
590;мистецтво;ім. с. р.;1145;12
591;хоча;сполучн.;1144;12
592;крок;ім. ч. р.;1143;12
593;чоловік;ім. ч. р.;1142;12
594;займатися;дієсл.;1141;12
595;обласний;прикметник;1140;12
596;попередній;прикметник;1139;12
597;пропозиція;ім. ж. р.;1135;12
598;починати;дієсл.;1132;12
599;означати;дієсл.;1131;12
600;використовувати;дієсл.;1130;12
601;раніше;прислівн.;1129;13
602;грудень;ім. ч. р.;1127;13
603;директор;ім. ч. р.;1127;13
604;освіта;ім. ж. р.;1122;13
605;подія;ім. ж. р.;1122;13
606;Москва;ім. ж. р.;1121;13
607;фактично;прислівн.;1120;13
608;значення;ім. с. р.;1118;13
609;подальший;прикметник;1117;13
610;фахівець;ім. ч. р.;1115;13
611;викликати;дієсл.;1113;13
612;прийняття;ім. с. р.;1107;13
613;експерт;ім. ч. р.;1101;13
614;відсутність;ім. ж. р.;1098;13
615;насправді;прислівн.;1097;13
616;охорона;ім. ж. р.;1097;13
617;спеціальний;прикметник;1096;13
618;установа;ім. ж. р.;1096;13
619;ініціатива;ім. ж. р.;1095;13
620;виконувати;дієсл.;1094;13
621;модель;ім. ж. р.;1094;13
622;отримувати;дієсл.;1094;13
623;свідчити;дієсл.;1091;13
624;журналіст;ім. ч. р.;1090;13
625;оцінка;ім. ж. р.;1086;13
626;освіти;ім. с. р.;1084;13
627;список;ім. ч. р.;1084;13
628;західний;прикметник;1083;13
629;пенсійний;прикметник;1083;13
630;міра;ім. ж. р.;1082;13
